id,text_clean,text_emojis_mapped,text_lemma,n_tokens
1553,wow that was a beautiful  bittersweet exchange there  every athlete in every sport can identify with this to some extent  so much heart from dc there and such sincerity from joe,wow that was a beautiful  bittersweet exchange there  every athlete in every sport can identify with this to some extent  so much heart from dc there and such sincerity from joe,wow that be a beautiful bittersweet exchange there every athlete in every sport can identify with this to some extent so much heart from dc there and such sincerity from joe,31
1554,daffy jones gotta fight chuck liddell for legacy,daffy jones gotta fight chuck liddell for legacy,daffy jones get to fight chuck liddell for legacy,9
1555,such a narcissist dude is actually salt of the earth in every way,such a narcissist dude is actually salt of the earth in every way,such a narcissist dude be actually salt of the earth in every way,13
1556,can t stand these under bite  english retards,can t stand these under bite  english retards,can t stand these under bite english retard,8
1557,why are africans so much more intelligent and articulate than african americans who get some of the most money thrown at their schooling  its culture  and until they wake up and decide to change their culture nothing will change   its no ones fault but their own,why are africans so much more intelligent and articulate than african americans who get some of the most money thrown at their schooling  its culture  and until they wake up and decide to change their culture nothing will change   its no ones fault but their own,why be african so much more intelligent and articulate than african americans who get some of the most money throw at their schooling its culture and until they wake up and decide to change their culture nothing will change its no one fault but their own,46
1558,beat the living lights out of him 🙏🙏🙏🙏👏👏👏😂,beat the living lights out of him emoji_person_with_folded_handsemoji_person_with_folded_handsemoji_person_with_folded_handsemoji_person_with_folded_handsemoji_clapping_hands_signemoji_clapping_hands_signemoji_clapping_hands_signemoji_face_with_tears_of_joy,beat the living light out of he emoji_person_with_folded_handsemoji_person_with_folded_handsemoji_person_with_folded_handsemoji_person_with_folded_handsemoji_clapping_hands_signemoji_clapping_hands_signemoji_clapping_hands_signemoji_face_with_tears_of_joy,8
1559,jones vs ngannou is the right fight to make its what s best for business 💯💰,jones vs ngannou is the right fight to make its what s best for business emoji_hundred_points_symbolemoji_money_bag,jones vs ngannou be the right fight to make its what s good for business emoji_hundred_points_symbolemoji_money_bag,16
1560,dana that s a woman name lol,dana that s a woman name lol,dana that s a woman name lol,7
1561,jones is going to strategically put aspinall down as he has everyone else  including this interview,jones is going to strategically put aspinall down as he has everyone else  including this interview,jones be go to strategically put aspinall down as he have everyone else include this interview,16
1562,jon was lucky to leave with his life,jon was lucky to leave with his life,jon be lucky to leave with his life,8
1563,his eye look dead asf  hope he recover 🙏🙏,his eye look dead asf  hope he recover emoji_person_with_folded_handsemoji_person_with_folded_hands,his eye look dead asf hope he recover emoji_person_with_folded_handsemoji_person_with_folded_hand,9
1564,don t talk about glazing ariel you glaze tom more than anyone i know,don t talk about glazing ariel you glaze tom more than anyone i know,don t talk about glaze ariel you glaze tom more than anyone I know,14
1565,jon bone jones 🐐 👑,jon bone jones emoji_goat emoji_crown,jon bone jones emoji_goat emoji_crown,5
1566,i don t care what he s done in his career  he should have been stripped or vacated after he got injured  if you can t defend or refuse to defend  drop the belt  like jamahal and jiri did  but then again  they re good  honourable fighters and humans  unlike jones,i don t care what he s done in his career  he should have been stripped or vacated after he got injured  if you can t defend or refuse to defend  drop the belt  like jamahal and jiri did  but then again  they re good  honourable fighters and humans  unlike jones,I don t care what he s do in his career he should have be strip or vacate after he get injure if you can t defend or refuse to defend drop the belt like jamahal and jiri do but then again they re good honourable fighter and human unlike jones,51
1567,strip jon jones of the belt,strip jon jones of the belt,strip jon jones of the belt,6
1568,why doesn t he do fucking movies,why doesn t he do fucking movies,why doesn t he do fuck movie,7
1569,jon doesn t care about you at all😂,jon doesn t care about you at allemoji_face_with_tears_of_joy,jon doesn t care about you at allemoji_face_with_tears_of_joy,8
1570,jones doesn t have to prove anything else to yall  he doesn t have to jump because yall say,jones doesn t have to prove anything else to yall  he doesn t have to jump because yall say,jones doesn t have to prove anything else to you all he doesn t have to jump because you all say,21
1571,honestly other than the lateral throw  this looked like an amateur fight lol,honestly other than the lateral throw  this looked like an amateur fight lol,honestly other than the lateral throw this look like an amateur fight lol,13
1572,jones beat almost no one good,jones beat almost no one good,jones beat almost no one good,6
1573,we got dc interviewing jon jones before gta6💀,we got dc interviewing jon jones before gta6emoji_skull,we get dc interview jon jones before gta6emoji_skull,8
1574,"you know what they say 

if you wanna be in the ufc 
the ufc has to be in you","you know what they say 

if you wanna be in the ufc 
the ufc has to be in you",you know what they say if you wanna be in the ufc the ufc have to be in you,19
1575,im putting all my chips on black lol but not 100  maybe a 77  chance,im putting all my chips on black lol but not 100  maybe a 77  chance,I m put all my chip on black lol but not 100 maybe a 77 chance,16
1576,why is no one saying that his tongue was sticking out when he t bagged him,why is no one saying that his tongue was sticking out when he t bagged him,why be no one say that his tongue be stick out when he t bag he,16
1577,4 54 illegal knee,4 54 illegal knee,4 54 illegal knee,4
1578,gees u got ay big mouth aerial what do you kno man your ay leech makin money off the ufc that s all  dana tried his best to get the fight done jones jus wasn t interested in an easy fight with tom  jones can choose who and when or where he fights he the best ever  he doesn t need to fight tom not one bit  tom will never be champion in most people s eyes  jones is for ever king  and gsp na mate it s jones and then khabib and nate diaz,gees u got ay big mouth aerial what do you kno man your ay leech makin money off the ufc that s all  dana tried his best to get the fight done jones jus wasn t interested in an easy fight with tom  jones can choose who and when or where he fights he the best ever  he doesn t need to fight tom not one bit  tom will never be champion in most people s eyes  jones is for ever king  and gsp na mate it s jones and then khabib and nate diaz,gee u get ay big mouth aerial what do you kno man your ay leech makin money off the ufc that s all dana try his good to get the fight do jones jus wasn t interest in an easy fight with tom jones can choose who and when or where he fight he the good ever he doesn t need to fight tom not one bit tom will never be champion in most people s eye jones be for ever king and gsp na mate it s jones and then khabib and nate diaz,95
1579,i m gonna say that jon will win over aspinal,i m gonna say that jon will win over aspinal,I m go to say that jon will win over aspinal,11
1580,somebody is dodging somebody  jones is dodging aspinall,somebody is dodging somebody  jones is dodging aspinall,somebody be dodge somebody jones be dodge aspinall,8
1581,😂😂😂😂😂😂😂😂😂,emoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,emoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,1
1582,jon jones will defeat him  bet the house,jon jones will defeat him  bet the house,jon jones will defeat he bet the house,8
1583,what a champ,what a champ,what a champ,3
1584,what ppl don t understand is that jon wants all fighters to get paid right  but francis wanted to fight lesser competition and make more money,what ppl don t understand is that jon wants all fighters to get paid right  but francis wanted to fight lesser competition and make more money,what ppl don t understand be that jon want all fighter to get pay right but francis want to fight less competition and make more money,26
1585,imagine calling yourseld the king of the worls when you ve only beaten blaydes,imagine calling yourseld the king of the worls when you ve only beaten blaydes,imagine call yourseld the king of the worl when you ve only beat blayde,14
1586,ok so what s next  tom vs ngannou,ok so what s next  tom vs ngannou,ok so what s next tom vs ngannou,8
1587,quack quack jon,quack quack jon,quack quack jon,3
1588,ducky jones is drinking a coconut,ducky jones is drinking a coconut,ducky jones be drink a coconut,6
1589,i want that abu dhabi card so bad but i know it ll never happen 💔,i want that abu dhabi card so bad but i know it ll never happen emoji_broken_heart,I want that abu dhabi card so bad but I know it ll never happen emoji_broken_heart,16
1590,i m so confused   why didn t he want to do the interview  what accent did the guy have that freaked him out so much,i m so confused   why didn t he want to do the interview  what accent did the guy have that freaked him out so much,I m so confused why didn t he want to do the interview what accent do the guy have that freak he out so much,25
1591,nooo  rumble,nooo  rumble,nooo rumble,2
1592,legend has it that he s still asking his coach to  call it,legend has it that he s still asking his coach to  call it,legend have it that he s still ask his coach to call it,13
1593,id hate to see adesanya trying to survive jon jones on the ground,id hate to see adesanya trying to survive jon jones on the ground,I d hate to see adesanya try to survive jon jones on the ground,14
1594,the fans ruined it   no doubt about it,the fans ruined it   no doubt about it,the fan ruin it no doubt about it,8
1595,bro jon jones is getting old  time waits for no man  even ryan garcia done fought devin and tank  gahhhhhhh,bro jon jones is getting old  time waits for no man  even ryan garcia done fought devin and tank  gahhhhhhh,bro jon jones be get old time wait for no man even ryan garcia do fight devin and tank gahhhhhhh,20
1596,that s a no i take it,that s a no i take it,that s a no I take it,7
1597,wolfpack sting shirt   love it,wolfpack sting shirt   love it,wolfpack sting shirt love it,5
1598,ultimate feelings championship 😭😭😭,ultimate feelings championship emoji_loudly_crying_faceemoji_loudly_crying_faceemoji_loudly_crying_face,ultimate feeling championship emoji_loudly_crying_faceemoji_loudly_crying_faceemoji_loudly_crying_face,4
1599,derrick lewis win by transporting almeida s soul in a space x shuttle to outer space  ko   hespect,derrick lewis win by transporting almeida s soul in a space x shuttle to outer space  ko   hespect,derrick lewis win by transport almeida s soul in a space x shuttle to outer space ko hespect,18
1600,diaz always make trouble  if not  hes not diaz hahaha,diaz always make trouble  if not  hes not diaz hahaha,diaz always make trouble if not he s not diaz hahaha,11
1601,just say it dana  we all need to hear it,just say it dana  we all need to hear it,just say it dana we all need to hear it,10
1602,that knee kick should be illegal period  can t elbow to the back of the head buck you can ruin someone s career with a front or side knee kick,that knee kick should be illegal period  can t elbow to the back of the head buck you can ruin someone s career with a front or side knee kick,that knee kick should be illegal period can t elbow to the back of the head buck you can ruin someone s career with a front or side knee kick,30
1603,bitter af,bitter af,bitter af,2
1604,dana white  money  there i regurgitated every comment here,dana white  money  there i regurgitated every comment here,dana white money there I regurgitate every comment here,9
1605,anyone think jones is afraid of aspinall is delusional   that is definitely the next fight and jones is angling for more money,anyone think jones is afraid of aspinall is delusional   that is definitely the next fight and jones is angling for more money,anyone think jones be afraid of aspinall be delusional that be definitely the next fight and jones be angle for more money,22
1606,how is this hilarious,how is this hilarious,how be this hilarious,4
1607,jon always find a way to win,jon always find a way to win,jon always find a way to win,7
1608,soft,soft,soft,1
1609,"just say it like a man  the reason it s so fucking  crazy  is because he s the only black champion and that s all it s been about the past few years 

even ngannou never left the ufc  dana cashed in on every move he made 🥊

jones is a fake champ who retired after the reyes fight","just say it like a man  the reason it s so fucking  crazy  is because he s the only black champion and that s all it s been about the past few years 

even ngannou never left the ufc  dana cashed in on every move he made emoji_boxing_glove

jones is a fake champ who retired after the reyes fight",just say it like a man the reason it s so fucking crazy be because he s the only black champion and that s all it s be about the past few year even ngannou never leave the ufc dana cash in on every move he make emoji_boxing_glove jones be a fake champ who retire after the reyes fight,59
1610,tom sleeps jones all day,tom sleeps jones all day,tom sleep jones all day,5
1611,its every jones hater fantasy that jon is afraid of their new hero for those unfamiliar  aspinall is the gerry cooney of mma  this shit ain t nothing but a rerun  if dana makes the money right jon will fight him  fighters don t retire until they have to  just cause ta is scary to you  he ain t scary to jon,its every jones hater fantasy that jon is afraid of their new hero for those unfamiliar  aspinall is the gerry cooney of mma  this shit ain t nothing but a rerun  if dana makes the money right jon will fight him  fighters don t retire until they have to  just cause ta is scary to you  he ain t scary to jon,its every jones hater fantasy that jon be afraid of their new hero for those unfamiliar aspinall be the gerry cooney of mma this shit ain t nothing but a rerun if dana make the money right jon will fight he fighter don t retire until they have to just cause ta be scary to you he ain t scary to jon,62
1612,congrats to jon jones on a great career you fans are horrible humans hopefully francis comes to fight him that makes more sense,congrats to jon jones on a great career you fans are horrible humans hopefully francis comes to fight him that makes more sense,congrat to jon jones on a great career you fan be horrible human hopefully francis come to fight he that make more sense,23
1613,i just signed the petition  tom is the true champion,i just signed the petition  tom is the true champion,I just sign the petition tom be the true champion,10
1614,jon smash let s go,jon smash let s go,jon smash let s go,5
1615,he had that pay off price in his head  if i say yeah  i lose the,he had that pay off price in his head  if i say yeah  i lose the,he have that pay off price in his head if I say yeah I lose the,16
1616,tom  first round ko as per usual  coke would fly out of his ears,tom  first round ko as per usual  coke would fly out of his ears,tom first round ko as per usual coke would fly out of his ear,14
1617,what made dc think what he said was ok  jones response was on point  fck a competition its time for you to go,what made dc think what he said was ok  jones response was on point  fck a competition its time for you to go,what make dc think what he say be ok jones response be on point fck a competition its time for you to go,23
1618,who has aspinal beat to say yea jones who never lost except for the dq is your next fight,who has aspinal beat to say yea jones who never lost except for the dq is your next fight,who have aspinal beat to say yea jones who never lose except for the dq be your next fight,19
1619,veo muchas risas por aquí  pero no todo el mundo se subiría al octógono a pelear contra el mejor de la historia  sin duda jon jones era todo un valiente,veo muchas risas por aquí  pero no todo el mundo se subiría al octógono a pelear contra el mejor de la historia  sin duda jon jones era todo un valiente,veo muchas risas por aquí pero no todo el mundo se subiría al octógono a pelear contra el mejor de la historia sin duda jon jones era todo un valiente,30
1620,he looks out of shape,he looks out of shape,he look out of shape,5
1621,dana fucked up  and he can t rant on john because john can bring the whole company down  i m sure  john is enough of a scumbag to rip off the hand that fed him  i believe his money was met and he still didn t say yes  yet he still holds  the deck so whatever it is  that s why i say it can bring the whole company down,dana fucked up  and he can t rant on john because john can bring the whole company down  i m sure  john is enough of a scumbag to rip off the hand that fed him  i believe his money was met and he still didn t say yes  yet he still holds  the deck so whatever it is  that s why i say it can bring the whole company down,dana fuck up and he can t rant on john because john can bring the whole company down I m sure john be enough of a scumbag to rip off the hand that feed he I believe his money be meet and he still didn t say yes yet he still hold the deck so whatever it be that s why I say it can bring the whole company down,70
1622,i think they strip jones  let tom fight gane for undisputed  and then promote jones aspinall for 2026 under another platform than espn,i think they strip jones  let tom fight gane for undisputed  and then promote jones aspinall for 2026 under another platform than espn,I think they strip jones let tom fight gane for undisputed and then promote jones aspinall for 2026 under another platform than espn,23
1623,pretty terrible manager not calling it when his fighter says  call it  i don t want to be in here  i don t have it  and he just responds with  no  breathe  you re gonna beat this guy  thats not a coach  that s not a friend  that s a parasite,pretty terrible manager not calling it when his fighter says  call it  i don t want to be in here  i don t have it  and he just responds with  no  breathe  you re gonna beat this guy  thats not a coach  that s not a friend  that s a parasite,pretty terrible manager not call it when his fighter say call it I don t want to be in here I don t have it and he just respond with no breathe you re go to beat this guy that s not a coach that s not a friend that s a parasite,53
1624,now  that s how you talk to a fighter he wants a challenge   give it to him😊,now  that s how you talk to a fighter he wants a challenge   give it to himemoji_smiling_face_with_smiling_eyes,now that s how you talk to a fighter he want a challenge give it to himemoji_smiling_face_with_smiling_eyes,17
1625,dana got 2 get out of  mambie pambie land    get back 2 fighters   fighting,dana got 2 get out of  mambie pambie land    get back 2 fighters   fighting,dana get 2 get out of mambie pambie land get back 2 fighter fight,14
1626,well stipe is out of the picture    hopefully jon jones fights a young and hungry heavyweight next in the ufc,well stipe is out of the picture    hopefully jon jones fights a young and hungry heavyweight next in the ufc,well stipe be out of the picture hopefully jon jones fight a young and hungry heavyweight next in the ufc,20
1627,jon makes the heavyweights look like amateurs  ciryl and stipe are two great fighters  jon is just so much better  think about it  d c  came up to heavyweight and beat stipe in their first fight when stipe was at his  best  and jon had already beaten d c  twice  that s just how good jon is,jon makes the heavyweights look like amateurs  ciryl and stipe are two great fighters  jon is just so much better  think about it  d c  came up to heavyweight and beat stipe in their first fight when stipe was at his  best  and jon had already beaten d c  twice  that s just how good jon is,jon make the heavyweight look like amateur ciryl and stipe be two great fighter jon be just so much well think about it d c come up to heavyweight and beat stipe in their first fight when stipe be at his good and jon have already beat d c twice that s just how good jon be,57
1628,none vs foreman prime,none vs foreman prime,none vs foreman prime,4
1629,juiced up jons,juiced up jons,juice up jon,3
1630,dana is delayed  tom aspinall already gave the news months ago,dana is delayed  tom aspinall already gave the news months ago,dana be delay tom aspinall already give the news month ago,11
1631,all i hear is quack quack,all i hear is quack quack,all I hear be quack quack,6
1632,for no reason,for no reason,for no reason,3
1633,tomorrow jon would want to fight with dc   but not tom,tomorrow jon would want to fight with dc   but not tom,tomorrow jon would want to fight with dc but not tom,11
1634,he used to be scary  now he is just an old duck,he used to be scary  now he is just an old duck,he use to be scary now he be just an old duck,12
1635,why is rodney here,why is rodney here,why be rodney here,4
1636,dana blinks a lot when he lies,dana blinks a lot when he lies,dana blink a lot when he lie,7
1637,lol don t be scared homie  i have his gloves,lol don t be scared homie  i have his gloves,lol don t be scared homie I have his glove,10
1638,a man must know his limitations,a man must know his limitations,a man must know his limitation,6
1639,chiny chin chin only deserves interim  yewtree needs to investigate that mf,chiny chin chin only deserves interim  yewtree needs to investigate that mf,chiny chin chin only deserve interim yewtree need to investigate that mf,12
1640,ya jon jones still dodging a spinal bc he scared,ya jon jones still dodging a spinal bc he scared,ya jon jones still dodge a spinal bc he scar,10
1641,ankle biter aspinall would get destroyed,ankle biter aspinall would get destroyed,ankle biter aspinall would get destroy,6
1642,about time everybody s moving on,about time everybody s moving on,about time everybody s move on,6
1643,they want to give aspinall more money and jon jones ain t having it,they want to give aspinall more money and jon jones ain t having it,they want to give aspinall more money and jon jones ain t have it,14
1644,it s called rankings,it s called rankings,it s call ranking,4
1645,i quit drinking because i always end up drinking too much i have a super high tolerance and every time i relapse i m ok for a couple weekends but my drinking starts increasing until i wind up annoying ppl around me so i just quit because i do not want you upset ppl,i quit drinking because i always end up drinking too much i have a super high tolerance and every time i relapse i m ok for a couple weekends but my drinking starts increasing until i wind up annoying ppl around me so i just quit because i do not want you upset ppl,I quit drinking because I always end up drink too much I have a super high tolerance and every time I relapse I m ok for a couple weekend but my drinking start increase until I wind up annoying ppl around I so I just quit because I do not want you upset ppl,54
1646,jones for some may be remembered as a drug cheat  woman basher and a closet homosexual  but will be remembered by all as being scared of tom aspinall,jones for some may be remembered as a drug cheat  woman basher and a closet homosexual  but will be remembered by all as being scared of tom aspinall,jones for some may be remember as a drug cheat woman basher and a closet homosexual but will be remember by all as be scared of tom aspinall,28
1647,he look pissed 😂,he look pissed emoji_face_with_tears_of_joy,he look piss emoji_face_with_tears_of_joy,4
1648,biggest ducks of all time 1  jon jones 2  islam makhachev,biggest ducks of all time 1  jon jones 2  islam makhachev,big duck of all time 1 jon jones 2 islam makhachev,11
1649,they should have the fighters exclude themselves and their fights or else this is pretty pointless,they should have the fighters exclude themselves and their fights or else this is pretty pointless,they should have the fighter exclude themselves and their fight or else this be pretty pointless,16
1650,"if your wondering why jon will fight francis and not tom is because he s not allowed too guru 
it s about the kalergi plan they cannot have a white englishman as ufc heavyweight champion when they re in the process of changing the population demographic 
why do you think like 90  of the athletes who represent the uk are black 
as that s the demographic they are installing  you need the right coloured idols for the right coloured fans dude 
in their own words guru for the uk and europe they want   an east eurasian negroid race","if your wondering why jon will fight francis and not tom is because he s not allowed too guru 
it s about the kalergi plan they cannot have a white englishman as ufc heavyweight champion when they re in the process of changing the population demographic 
why do you think like 90  of the athletes who represent the uk are black 
as that s the demographic they are installing  you need the right coloured idols for the right coloured fans dude 
in their own words guru for the uk and europe they want   an east eurasian negroid race",if your wonder why jon will fight francis and not tom be because he s not allow too guru it s about the kalergi plan they can not have a white englishman as ufc heavyweight champion when they re in the process of change the population demographic why do you think like 90 of the athlete who represent the uk be black as that s the demographic they be instal you need the right coloured idol for the right coloured fan dude in their own word guru for the uk and europe they want an east eurasian negroid race,99
1651,i don t know if this is just making stuff up or not  but he can t venture into pfl you idiot he signed his f  lifeway with ufc he s got 10 fight deal,i don t know if this is just making stuff up or not  but he can t venture into pfl you idiot he signed his f  lifeway with ufc he s got 10 fight deal,I don t know if this be just make stuff up or not but he can t venture into pfl you idiot he sign his f lifeway with ufc he s get 10 fight deal,35
1652,and yet dc lost jon is the remaining undefeated champion and is living his best life not only was dc wrong but dc was bitter what dc said was only based off observation but none of it was based in the truth,and yet dc lost jon is the remaining undefeated champion and is living his best life not only was dc wrong but dc was bitter what dc said was only based off observation but none of it was based in the truth,and yet dc lose jon be the remain undefeated champion and be live his good life not only be dc wrong but dc be bitter what dc say be only base off observation but none of it be base in the truth,42
1653,nah that was a greatest bait in ufc history jon jones is the goat,nah that was a greatest bait in ufc history jon jones is the goat,nah that be a great bait in ufc history jon jones be the goat,14
1654,how dana has handled this whole jones aspinall situation has been embarrassing for the ufc,how dana has handled this whole jones aspinall situation has been embarrassing for the ufc,how dana have handle this whole jones aspinall situation have be embarrassing for the ufc,15
1655,first you roid up  then you begin with an eyepoke  always start with an eyepoke,first you roid up  then you begin with an eyepoke  always start with an eyepoke,first you roid up then you begin with an eyepoke always start with an eyepoke,15
1656,man  jones never knew he was inside chael sonnen s genjutsu the entire time,man  jones never knew he was inside chael sonnen s genjutsu the entire time,man jones never know he be inside chael sonnen s genjutsu the entire time,14
1657,he s actually ducking interviews from the country of the challenger he s running scared from  goat my arse,he s actually ducking interviews from the country of the challenger he s running scared from  goat my arse,he s actually duck interview from the country of the challenger he s run scared from goat my arse,19
1658,i m just happy you don t have to cover jon anymore  while we re at it let s stop covering conor too,i m just happy you don t have to cover jon anymore  while we re at it let s stop covering conor too,I m just happy you don t have to cover jon anymore while we re at it let s stop cover conor too,23
1659,young man destroyed his face  good that he called it,young man destroyed his face  good that he called it,young man destroy his face good that he call it,10
1660,tony ferguson,tony ferguson,tony ferguson,2
1661,it s wild tom s out here defending an interim whole jon jones has sat out and now fighting stipe instead  do the stipe fight after  how you have jon hold shit up this long then come back and his first fight not be to unify the belt is insane and wrong  stipe hasn t fought in 4 years and is old af they can do that fight after the belt is unified  how a champ can come back after sitting out and not have to fight the interim who s been defending the interim is beyond me and kinda just fucked up  either unify or strip jon,it s wild tom s out here defending an interim whole jon jones has sat out and now fighting stipe instead  do the stipe fight after  how you have jon hold shit up this long then come back and his first fight not be to unify the belt is insane and wrong  stipe hasn t fought in 4 years and is old af they can do that fight after the belt is unified  how a champ can come back after sitting out and not have to fight the interim who s been defending the interim is beyond me and kinda just fucked up  either unify or strip jon,it s wild tom s out here defend an interim whole jon jones have sit out and now fight stipe instead do the stipe fight after how you have jon hold shit up this long then come back and his first fight not be to unify the belt be insane and wrong stipe hasn t fight in 4 year and be old af they can do that fight after the belt be unify how a champ can come back after sit out and not have to fight the interim who s be defend the interim be beyond I and kinda just fuck up either unify or strip jon,108
1662,how did i know  😂😂😂,how did i know  emoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,how do I know emoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,5
1663,no disrespect but i need to watch the whole fight to tell you because i never seen it,no disrespect but i need to watch the whole fight to tell you because i never seen it,no disrespect but I need to watch the whole fight to tell you because I never see it,18
1664,2 35 he says thanks to those who listened to him and didnt come to the fight,2 35 he says thanks to those who listened to him and didnt come to the fight,2 35 he say thank to those who listen to he and do not come to the fight,18
1665,wow he punches the crap out of the back of people s heads  and a few elbows here and there,wow he punches the crap out of the back of people s heads  and a few elbows here and there,wow he punch the crap out of the back of people s head and a few elbow here and there,20
1666,why forcing him if he s that sure that he doesn t have it,why forcing him if he s that sure that he doesn t have it,why force he if he s that sure that he doesn t have it,14
1667,he lost to tom and francis without even fighting them  dude s just different yk,he lost to tom and francis without even fighting them  dude s just different yk,he lose to tom and francis without even fight they dude s just different yk,15
1668,"jon bones jones just stated that he was scared and was a chicken to fight tom aspinall  it s ok for jones to fight someone older and lighter than him but if the shoe is on the other foot then he s not interested  
the ufc shouldn t be asking if or who the champion would or should fight they need to just make the match and if jones says no then he s stripped immediately and then they let him hang in purgatory until he accepts the fight or the fighter the ufc makes  
but now jones says he won t fight aspinall as it doesn t make sense to him that the champion fights the interim champion  well jon it does make sense to everyone but you as you are scared to fight a younger bigger fighter who you know will beat you to hell and back numerous times every round  
i call jon jones a chicken","jon bones jones just stated that he was scared and was a chicken to fight tom aspinall  it s ok for jones to fight someone older and lighter than him but if the shoe is on the other foot then he s not interested  
the ufc shouldn t be asking if or who the champion would or should fight they need to just make the match and if jones says no then he s stripped immediately and then they let him hang in purgatory until he accepts the fight or the fighter the ufc makes  
but now jones says he won t fight aspinall as it doesn t make sense to him that the champion fights the interim champion  well jon it does make sense to everyone but you as you are scared to fight a younger bigger fighter who you know will beat you to hell and back numerous times every round  
i call jon jones a chicken",jon bones jones just state that he be scared and be a chicken to fight tom aspinall it s ok for jones to fight someone old and light than he but if the shoe be on the other foot then he s not interested the ufc shouldn t be ask if or who the champion would or should fight they need to just make the match and if jones say no then he s strip immediately and then they let he hang in purgatory until he accept the fight or the fighter the ufc make but now jones say he win t fight aspinall as it doesn t make sense to he that the champion fight the interim champion well jon it do make sense to everyone but you as you be scared to fight a young big fighter who you know will beat you to hell and back numerous time every round I call jon jones a chicken,159
1669,back in 2017 watching jon jones highlights is what got me into ufc  i had googled who is the best mma fighter and it said jones so i looked him up  sucks that he does this c but i hope it s just head games with aspinall,back in 2017 watching jon jones highlights is what got me into ufc  i had googled who is the best mma fighter and it said jones so i looked him up  sucks that he does this c but i hope it s just head games with aspinall,back in 2017 watch jon jones highlight be what get I into ufc I have google who be the good mma fighter and it say jones so I look he up suck that he do this c but I hope it s just head game with aspinall,47
1670,this does everything for jones  if he wins he was right  if he loses his rep will be tarnished  if he ducks the standing ic he will be a duck for the rest of his life  hes scared,this does everything for jones  if he wins he was right  if he loses his rep will be tarnished  if he ducks the standing ic he will be a duck for the rest of his life  hes scared,this do everything for jones if he win he be right if he lose his rep will be tarnish if he duck the standing ic he will be a duck for the rest of his life he s scared,39
1671,they said the same thing with the last fight with jone and jones took him out in less then 5mins,they said the same thing with the last fight with jone and jones took him out in less then 5mins,they say the same thing with the last fight with jone and jones take he out in less then 5mins,20
1672,people are hilarious  just yesterday everyone loved jon now he s afraid to fight  bread and circuses smh lol,people are hilarious  just yesterday everyone loved jon now he s afraid to fight  bread and circuses smh lol,people be hilarious just yesterday everyone love jon now he s afraid to fight bread and circus smh lol,19
1673,"its all about the money 💰 
jones is dirty as it gets","its all about the money emoji_money_bag 
jones is dirty as it gets",its all about the money emoji_money_bag jones be dirty as it get,12
1674,bc with the you hate women bit at 1 02 25 made me lol,bc with the you hate women bit at 1 02 25 made me lol,bc with the you hate woman bit at 1 02 25 make I lol,14
1675,make sure you test and get the results for jones before he fights tom    dana  woman abuser  white,make sure you test and get the results for jones before he fights tom    dana  woman abuser  white,make sure you test and get the result for jones before he fight tom dana woman abuser white,18
1676,jon jones is a 🦆 tom aspinall is the real champion,jon jones is a emoji_duck tom aspinall is the real champion,jon jones be a emoji_duck tom aspinall be the real champion,11
1677,it is so funny to imagine that people can be so misguided and deluded to think bones is scared  tom is a beast  i am 100 team asp  but really  love or hate jj he is an incredible fearless fighter  i see tom taking the w but then that is also my heart talking would be a great fight regardless,it is so funny to imagine that people can be so misguided and deluded to think bones is scared  tom is a beast  i am 100 team asp  but really  love or hate jj he is an incredible fearless fighter  i see tom taking the w but then that is also my heart talking would be a great fight regardless,it be so funny to imagine that people can be so misguided and delude to think bone be scared tom be a beast I be 100 team asp but really love or hate jj he be an incredible fearless fighter I see tom take the w but then that be also my heart talk would be a great fight regardless,60
1678,jones vs dc 3 for the hw title with chael sonnen as the special guest referee,jones vs dc 3 for the hw title with chael sonnen as the special guest referee,jones vs dc 3 for the hw title with chael sonnen as the special guest referee,16
1679,"tom already won 
other guy is hiding","tom already won 
other guy is hiding",tom already win other guy be hide,7
1680,jones will have been on peds as usual,jones will have been on peds as usual,jones will have be on ped as usual,8
1681,what a horrible stain on a legendary career,what a horrible stain on a legendary career,what a horrible stain on a legendary career,8
1682,don t know how people can still defend jones  tom been interim champ for ages and has even defended the belt and jones still hasn t fought him  glad people are starting to come to their senses  can t be gatekeeping multiple peoples careers like that,don t know how people can still defend jones  tom been interim champ for ages and has even defended the belt and jones still hasn t fought him  glad people are starting to come to their senses  can t be gatekeeping multiple peoples careers like that,don t know how people can still defend jones tom be interim champ for age and have even defend the belt and jones still hasn t fight he glad people be start to come to their sens can t be gatekeepe multiple people career like that,46
1683,karma,karma,karma,1
