id,original,cleaned,tokens_count,lemmas,n_tokens_changed
150,"JJ’s legacy will forever be tarnished! There is NO reason to duck Aspinall. So what if he loses, he’s just laid out the excuses in this clip. I’d personally think a lot more of him if he’d take on a bigger, younger guy. If he’s the GOAT…you don’t shit your pants and fight a striker with ZERO ground skills. JJ will smother Pereira, it’ll be a boring fight and JJ will win by submission",jj s legacy will forever be tarnished there is no reason to duck aspinall so what if he loses he s just laid out the excuses in this clip i d personally think a lot more of him if he d take on a bigger younger guy if he s the goat you don t shit your pants and fight a striker with zero ground skills jj will smother pereira it ll be a boring fight and jj will win by submission,82,jj s legacy will forever be tarnish there be no reason to duck aspinall so what if he lose he s just lay out the excuse in this clip I d personally think a lot more of he if he d take on a big young guy if he s the goat you don t shit your pant and fight a striker with zero ground skill jj will smother pereira it ll be a boring fight and jj will win by submission,11
151,Somebody call a doctor. Stipe ain't gon shit right for 2weeks after the mule kick. Ouch. I feel bad for dood.,somebody call a doctor stipe ain t gon shit right for 2weeks after the mule kick ouch i feel bad for dood,22,somebody call a doctor stipe ain t gon shit right for 2week after the mule kick ouch I feel bad for dood,2
152,Coward move,coward move,2,coward move,0
153,"You jones haters cope so hard, always the guys who know nothing about fighting",you jones haters cope so hard always the guys who know nothing about fighting,14,you jones hater cope so hard always the guy who know nothing about fight,3
154,"""You do what you want when you poppin"" - Future 😂",you do what you want when you poppin future 😂,10,you do what you want when you poppin future 😂,0
155,"I remember you most for being a cheater, drug addict and just a pos person",i remember you most for being a cheater drug addict and just a pos person,15,I remember you most for be a cheater drug addict and just a pos person,2
156,Maybe One Day....😅😅,maybe one day 😅😅,4,maybe one day 😅 😅,0
157,Dirty move below the belt by Jon jones,dirty move below the belt by jon jones,8,dirty move below the belt by jon jones,0
158,"The next tactic from Dana will be-  ""We offered Jones the most money in ufc history..if he doesn't wanna fight I can't force him!""",the next tactic from dana will be we offered jones the most money in ufc history if he doesn t wanna fight i can t force him,27,the next tactic from dana will be we offer jones the most money in ufc history if he doesn t wanna fight I can t force he,3
159,Reason why he quit??,reason why he quit,4,reason why he quit,0
160,"Dana saying ""It is none of my business"" is so absurd, he is literally the authority who runs the UFC, If there is someone who NEEDS do to something about Jon Jones is Dana.",dana saying it is none of my business is so absurd he is literally the authority who runs the ufc if there is someone who needs do to something about jon jones is dana,34,dana say it be none of my business be so absurd he be literally the authority who run the ufc if there be someone who need do to something about jon jones be dana,8
161,Jones is scared of the younger fighter. He wants to talk shit to an older retired fighter. Chump.,jones is scared of the younger fighter he wants to talk shit to an older retired fighter chump,18,jones be scared of the young fighter he want to talk shit to an old retire fighter chump,5
162,We saw it with dominick reyes. He beat jon jones and after that he doesnt want to fight anyone. He took the fight out of him to the point hes just dicking all the best fighters trying to get dana to give him pinching bags as oppnents. His time was up 3 years ago,we saw it with dominick reyes he beat jon jones and after that he doesnt want to fight anyone he took the fight out of him to the point hes just dicking all the best fighters trying to get dana to give him pinching bags as oppnents his time was up 3 years ago,54,we see it with dominick reyes he beat jon jones and after that he do not want to fight anyone he take the fight out of he to the point he s just dicke all the good fighter try to get dana to give he pinch bag as oppnent his time be up 3 year ago,15
163,"Joe is so stupid, chael used his mind to snap his toe you idiot",joe is so stupid chael used his mind to snap his toe you idiot,14,joe be so stupid chael use his mind to snap his toe you idiot,2
164,I didn’t kno these to fought,i didn t kno these to fought,7,I didn t kno these to fight,2
165,"Dana is still in denial of what Francis did to him, choosing himself over Dana.",dana is still in denial of what francis did to him choosing himself over dana,15,dana be still in denial of what francis do to he choose himself over dana,4
166,Jon Jones still looks the same lmao,jon jones still looks the same lmao,7,jon jones still look the same lmao,1
167,Ask khabib,ask khabib,2,ask khabib,0
168,He has weak ribs if that kick took him down.,he has weak ribs if that kick took him down,10,he have weak rib if that kick take he down,4
169,"Afterwards, proceeded to hand our great incoming President Trump his belt.",afterwards proceeded to hand our great incoming president trump his belt,11,afterwards proceed to hand our great incoming president trump his belt,1
170,"Jones doesn't look to be in particularly good shape. Of course, that doesn't seem to matter.",jones doesn t look to be in particularly good shape of course that doesn t seem to matter,18,jones doesn t look to be in particularly good shape of course that doesn t seem to matter,0
171,DC has some of the best shit talk man. When he told Bader he wanted the easiest fight in the division 😅😅😅,dc has some of the best shit talk man when he told bader he wanted the easiest fight in the division 😅😅😅,22,dc have some of the good shit talk man when he tell bader he want the easy fight in the division 😅 😅 😅,5
172,"weird man, just weird, and btw, over it. you losing fans by the minute, good work, its pr genius....not",weird man just weird and btw over it you losing fans by the minute good work its pr genius not,20,weird man just weird and btw over it you lose fan by the minute good work its pr genius not,2
173,Just seeing him regain his balance is terrifying,just seeing him regain his balance is terrifying,8,just see he regain his balance be terrify,4
174,Все легенды в одном октагоне,все легенды в одном октагоне,5,все легенды в одном октагоне,0
175,His punch come from very long distance so it's momentum is very high,his punch come from very long distance so it s momentum is very high,14,his punch come from very long distance so it s momentum be very high,1
176,"“Hey pussy, you still there?”",hey pussy you still there,5,hey pussy you still there,0
177,"Bones is one of the greatest, but man… this guy needs to be punished ASAP, such a dirty player",bones is one of the greatest but man this guy needs to be punished asap such a dirty player,19,bone be one of the great but man this guy need to be punish asap such a dirty player,5
178,"Jon ""The black Homelander"" Jones",jon the black homelander jones,5,jon the black homelander jones,0
179,ჯრბ❤❤❤❤,ჯრბ❤❤❤❤,1,ჯრბ ❤ ❤ ❤ ❤,0
180,Jon Jones is stuffing his face with those Thailand lady boys.,jon jones is stuffing his face with those thailand lady boys,11,jon jones be stuff his face with those thailand lady boy,3
181,"“Why do people want me to fight the interim champ, he hasn’t earned it. What if I lose?”",why do people want me to fight the interim champ he hasn t earned it what if i lose,19,why do people want I to fight the interim champ he hasn t earn it what if I lose,3
182,UFC becoming a political mess. Fight or strip that simple. Dana White is holding onto Jon Jones as long as possible as they make future contract deals. Keeping the Heavyweight division for ransom. Its a shit show no good morals left in the ufc. UFC doesn't deserve Tom Aspinall. Tom could of won a heavyweight belt in One Championship in this bullshit time waiting around and come back in time and still waiting on this political mess lol think about that i belive he could layed out 4 guys or at least 3 in another organisation without a scratch  on him and be back to warm up agsinst Jon Jones 👍,ufc becoming a political mess fight or strip that simple dana white is holding onto jon jones as long as possible as they make future contract deals keeping the heavyweight division for ransom its a shit show no good morals left in the ufc ufc doesn t deserve tom aspinall tom could of won a heavyweight belt in one championship in this bullshit time waiting around and come back in time and still waiting on this political mess lol think about that i belive he could layed out 4 guys or at least 3 in another organisation without a scratch on him and be back to warm up agsinst jon jones 👍,112,ufc become a political mess fight or strip that simple dana white be hold onto jon jones as long as possible as they make future contract deal keep the heavyweight division for ransom its a shit show no good moral leave in the ufc ufc doesn t deserve tom aspinall tom could of win a heavyweight belt in one championship in this bullshit time wait around and come back in time and still wait on this political mess lol think about that I belive he could layed out 4 guy or at least 3 in another organisation without a scratch on he and be back to warm up agsinst jon jones 👍,13
183,"If every fighter was in their prime, what match up would like to see? 
Spider vs Bones imo",if every fighter was in their prime what match up would like to see spider vs bones imo,18,if every fighter be in their prime what match up would like to see spider vs bone imo,2
184,"Absolute clown, not goat material",absolute clown not goat material,5,absolute clown not goat material,0
185,Nose candy metabolites? is that fancy words for cocaine?,nose candy metabolites is that fancy words for cocaine,9,nose candy metabolite be that fancy word for cocaine,3
186,"ထက္ျမက္  ျပီး အသိဥာဏ္ျမင့္မား
တဲ႕  ပရိရာယ္ နဲ႕ ထပ္တူက်တဲ႕
ခႏၱာ စြမ္းအင္ 'ေလ့က်င့္ထူေထာင္
ထားနိဳင္သူ  ေပါ့ဗ်ာ ။
 ' စီ ေရာ္နယ္ဒို'သာ mma ဝါသ
နာ  ပါခဲ႕လ်င္'အေကာင္းဆံုး ျပိဳင္
ဖက္ ျဖစ္မွာ ေသခ်ာတယ္ ဗ် ။",ထက မက ပ အသ ဥ ဏ မင မ တ ႕ ပရ ရ ယ န ႕ ထပ တ က တ ႕ ခ စ မ အင လ က င ထ ထ င ထ န င သ ပ ဗ စ ရ နယ ဒ သ mma ဝ သ န ပ ခ ႕လ င အ က င ဆ ပ င ဖက ဖစ မ သခ တယ ဗ,61,ထက မက ပ အသ ဥ ဏ မင မ တ ႕ ပရ ရ ယ န ႕ ထပ တ က တ ႕ ခ စ မ အင လ က င ထ ထ င ထ န င သ ပ ဗ စ ရ နယ ဒ သ mma ဝ သ န ပ ခ ႕လ င အ က င ဆ ပ င ဖက ဖစ မ သခ တယ ဗ,0
187,"Jones getting retired by Aspinall is truly hilarious. Hey UFC, we are done with Jones and ready for Tom to have his time. The ""goat"" going out like this is so ironic.",jones getting retired by aspinall is truly hilarious hey ufc we are done with jones and ready for tom to have his time the goat going out like this is so ironic,32,jones getting retire by aspinall be truly hilarious hey ufc we be do with jones and ready for tom to have his time the goat go out like this be so ironic,6
188,"but that's because the undisputed champ's fight after his or her return is supposed to be unifying it with the interim title. In this case, Jones is refusing to honor the interim champion belt and you could make the argument that HE should be stripped of the heavyweight title the second the fight starts for him and Stipe.",but that s because the undisputed champ s fight after his or her return is supposed to be unifying it with the interim title in this case jones is refusing to honor the interim champion belt and you could make the argument that he should be stripped of the heavyweight title the second the fight starts for him and stipe,60,but that s because the undisputed champ s fight after his or her return be suppose to be unify it with the interim title in this case jones be refuse to honor the interim champion belt and you could make the argument that he should be strip of the heavyweight title the second the fight start for he and stipe,8
189,"Damn I remember when I first saw this live on TV when I was so young. My oldest brother started training and got me and my older brother into the sport. He Always had us training at home, watching videos, and techniques. I was about 11 and was very fresh to the sport and I remember just being shocked with his fighting style, never seen anything like that at my age. To think  how fast things changed for him is crazy",damn i remember when i first saw this live on tv when i was so young my oldest brother started training and got me and my older brother into the sport he always had us training at home watching videos and techniques i was about 11 and was very fresh to the sport and i remember just being shocked with his fighting style never seen anything like that at my age to think how fast things changed for him is crazy,81,damn I remember when I first see this live on tv when I be so young my old brother start training and get I and my old brother into the sport he always have we training at home watch video and technique I be about 11 and be very fresh to the sport and I remember just be shock with his fighting style never see anything like that at my age to think how fast thing change for he be crazy,26
190,AI is really getting insanely good…,ai is really getting insanely good,6,ai be really get insanely good,2
191,FACTS!!!!!,facts,1,fact,1
192,Duck Jones,duck jones,2,duck jones,0
193,DC >,dc,1,dc,0
194,This is jon jones month let him live his best life with the boys. Club Tropicana drinks are free fun and sunshine love for everyone 😂,this is jon jones month let him live his best life with the boys club tropicana drinks are free fun and sunshine love for everyone 😂,26,this be jon jones month let he live his good life with the boy club tropicana drink be free fun and sunshine love for everyone 😂,6
195,"he aint fighting Francis, Francis wanted that fight Jones waited for him to leave, imho",he aint fighting francis francis wanted that fight jones waited for him to leave imho,15,he be not fight francis francis want that fight jones wait for he to leave imho,6
196,Its been 6 months since Jon's last fight and he has said it will be next year before he fights.  No one gets to hold the title for a year and a half without defending,its been 6 months since jon s last fight and he has said it will be next year before he fights no one gets to hold the title for a year and a half without defending,36,its be 6 month since jon s last fight and he have say it will be next year before he fight no one get to hold the title for a year and a half without defend,7
197,"2mins in had me howling when bispings face came up on that mobile phone hahah ""yeah the fights happening""",2mins in had me howling when bispings face came up on that mobile phone hahah yeah the fights happening,19,2mins in have I howl when bisping face come up on that mobile phone hahah yeah the fight happen,7
198,Tom turned the Goat into a Duck.  And Chandler continues to be the dirtiest fighter in the whole UFC,tom turned the goat into a duck and chandler continues to be the dirtiest fighter in the whole ufc,19,tom turn the goat into a duck and chandler continue to be the dirty fighter in the whole ufc,3
199,"Your going to see Nice Dana, Mad Dana, and Mean Dana.🤣🤦🏼‍♂ But either way… Chaels the best storyteller in the Business right now. Hands down. It’s a pro wrestling vignette cross with a color commentary. 🤣🤣🤣🤣🤣",your going to see nice dana mad dana and mean dana 🤣🤦🏼 ♂ but either way chaels the best storyteller in the business right now hands down it s a pro wrestling vignette cross with a color commentary 🤣🤣🤣🤣🤣,39,your go to see nice dana mad dana and mean dana 🤣 🤦 🏼 ♂ but either way chael the good storyteller in the business right now hand down it s a pro wrestling vignette cross with a color commentary 🤣 🤣 🤣 🤣 🤣,4
200,"even if Jon is planning to fight him hes doing this for mind games. everyone talks about his fight IQ and how he knows what to do to get inside his opponents head and learn them.

on the contrary he made tweets already about how much money hes making on all this publicity and even thanked fans for tweeting about it.

hes also repeatedly made it obvious he doesn't want to fight tom. hes always said in conferences ""this guy doesn't even matter who is he"" etc. 

this fight in my opinion won't happen. Jon knows this guy has a shot at beating him, plus his age, his legacy, etc. hes just cashing out from the publicity then hes gonna leave.",even if jon is planning to fight him hes doing this for mind games everyone talks about his fight iq and how he knows what to do to get inside his opponents head and learn them on the contrary he made tweets already about how much money hes making on all this publicity and even thanked fans for tweeting about it hes also repeatedly made it obvious he doesn t want to fight tom hes always said in conferences this guy doesn t even matter who is he etc this fight in my opinion won t happen jon knows this guy has a shot at beating him plus his age his legacy etc hes just cashing out from the publicity then hes gonna leave,124,even if jon be plan to fight he he s do this for mind game everyone talk about his fight iq and how he know what to do to get inside his opponent head and learn they on the contrary he make tweet already about how much money he s make on all this publicity and even thank fan for tweet about it he s also repeatedly make it obvious he doesn t want to fight tom he s always say in conference this guy doesn t even matter who be he etc this fight in my opinion win t happen jon know this guy have a shot at beat he plus his age his legacy etc he s just cash out from the publicity then he s go to leave,27
201,he was partially joking. just british humour,he was partially joking just british humour,7,he be partially joke just british humour,2
202,Love him or hate him Jon jones will always be the best UFC fighter to exist,love him or hate him jon jones will always be the best ufc fighter to exist,16,love he or hate he jon jones will always be the good ufc fighter to exist,3
203,"Jones never avoided any fights. Now that he is old, he is starting to be more cautious or should I say ,"" worried"". Lol",jones never avoided any fights now that he is old he is starting to be more cautious or should i say worried lol,23,jones never avoid any fight now that he be old he be start to be more cautious or should I say worried lol,6
204,"End of an era . Congrats GOAT , ride off into the sunset",end of an era congrats goat ride off into the sunset,11,end of an era congrat goat ride off into the sunset,1
205,paddy the badddy,paddy the badddy,3,paddy the badddy,0
206,Haven’t watched the video but yes. It’s a ridiculous question to ask. The answer is yes,haven t watched the video but yes it s a ridiculous question to ask the answer is yes,18,haven t watch the video but yes it s a ridiculous question to ask the answer be yes,2
207,its just disrespectful that tom had to defend that belt bro,its just disrespectful that tom had to defend that belt bro,11,its just disrespectful that tom have to defend that belt bro,1
208,"Meanwhile, macron is booed wherever he goes",meanwhile macron is booed wherever he goes,7,meanwhile macron be boo wherever he go,3
209,we do care we just lost hope that it will happen so we dont engage in things that may give us hope until it is in the ring and happening,we do care we just lost hope that it will happen so we dont engage in things that may give us hope until it is in the ring and happening,30,we do care we just lose hope that it will happen so we do not engage in thing that may give we hope until it be in the ring and happen,6
210,All 3 of them are Jon jones children,all 3 of them are jon jones children,8,all 3 of they be jon jones children,2
211,Give the belt that man,give the belt that man,5,give the belt that man,0
212,Jon Jones not only ducking a fight but ducking everybody from that fighters country LOL,jon jones not only ducking a fight but ducking everybody from that fighters country lol,15,jon jones not only duck a fight but duck everybody from that fighter country lol,3
213,Dana accusing anyone of not meaning what they say publicly ia hilarious 😂,dana accusing anyone of not meaning what they say publicly ia hilarious 😂,13,dana accuse anyone of not mean what they say publicly ia hilarious 😂,2
214,"I love how everyone just comments about Uncle Cheal! Still undefeated undisputed reigning champ that is Cheal P Sonnen, did I mention he has the biggest arms in West Lynn.",i love how everyone just comments about uncle cheal still undefeated undisputed reigning champ that is cheal p sonnen did i mention he has the biggest arms in west lynn,30,I love how everyone just comment about uncle cheal still undefeated undisputed reign champ that be cheal p sonnen do I mention he have the big arm in west lynn,9
215,This guy was so excited at the end of the fight got hit in the nuts once and kept looking for that out 2/3 times when he got kneed in the guts,this guy was so excited at the end of the fight got hit in the nuts once and kept looking for that out 2 3 times when he got kneed in the guts,33,this guy be so excited at the end of the fight get hit in the nut once and keep look for that out 2 3 time when he get kneed in the gut,8
216,I really don't think so.,i really don t think so,6,I really don t think so,1
217,No freaking way in hell.  Dudes an alcoholic.,no freaking way in hell dudes an alcoholic,8,no freak way in hell dude an alcoholic,2
218,not much of an ego thing and more of a psychological thing,not much of an ego thing and more of a psychological thing,12,not much of an ego thing and more of a psychological thing,0
219,🫡😔,🫡😔,1,🫡 😔,0
220,good for him i say.,good for him i say,5,good for he I say,2
221,all these casuals i swear.. jones is the goat plain and simple,all these casuals i swear jones is the goat plain and simple,12,all these casual I swear jones be the goat plain and simple,3
222,Jones is past his peak he doesn’t have the drive to hold belts…Aspinall is next,jones is past his peak he doesn t have the drive to hold belts aspinall is next,17,jones be past his peak he doesn t have the drive to hold belt aspinall be next,3
223,"Smells like the son of a gangster to me , the ultimate I just do what I want causing trouble like that what’s joke",smells like the son of a gangster to me the ultimate i just do what i want causing trouble like that what s joke,24,smell like the son of a gangster to I the ultimate I just do what I want cause trouble like that what s joke,5
224,Diaz looks 18 here,diaz looks 18 here,4,diaz look 18 here,1
225,""" He's Toe came out of the Socket "" ..",he s toe came out of the socket,8,he s toe come out of the socket,1
226,Jon jones p4p best fighter in the world right now 😎,jon jones p4p best fighter in the world right now 😎,11,jon jones p4p good fighter in the world right now 😎,1
227,"I just think Tom will do what he does in  most of his fights and get clipped moving in, difference being Jones will punish him for it harder than others do, I just don't want Tom to be beaten up, Jones is to far ahead, would be entertaining though 🇬🇧",i just think tom will do what he does in most of his fights and get clipped moving in difference being jones will punish him for it harder than others do i just don t want tom to be beaten up jones is to far ahead would be entertaining though,50,I just think tom will do what he do in most of his fight and get clip move in difference being jones will punish he for it hard than other do I just don t want tom to be beat up jones be to far ahead would be entertaining though,11
228,People who hate on jones don’t know shit about fighting,people who hate on jones don t know shit about fighting,11,people who hate on jones don t know shit about fight,1
229,Jon Juice Jones,jon juice jones,3,jon juice jones,0
230,He’s the greatest closeted sociopath fighter of all time. True GOAT 🏆,he s the greatest closeted sociopath fighter of all time true goat 🏆,13,he s the great closet sociopath fighter of all time true goat 🏆,2
231,Jonny knows he will get an L.,jonny knows he will get an l,7,jonny know he will get an l,1
232,Leave Jon alone. He ain't gotta prove nothing. Enjoy your new journey Jones. It been a pleasure to see you perform.,leave jon alone he ain t gotta prove nothing enjoy your new journey jones it been a pleasure to see you perform,22,leave jon alone he ain t get to prove nothing enjoy your new journey jones it be a pleasure to see you perform,3
233,And still we don’t have Aspinall vs Jones fight,and still we don t have aspinall vs jones fight,10,and still we don t have aspinall vs jones fight,0
234,You can kill someone by poking them in the eye?,you can kill someone by poking them in the eye,10,you can kill someone by poke they in the eye,2
235,I was SOOOO mad when RASHAD EVANS LOST.. I LOVE BOTH FIGHTERS THOUGH. BUT BACK THEN RASHAAD WAS THE OG IN THE SPORT AT THE TIME,i was soooo mad when rashad evans lost i love both fighters though but back then rashaad was the og in the sport at the time,26,I be soooo mad when rashad evans lose I love both fighter though but back then rashaad be the og in the sport at the time,6
236,Jone goat jones the best who ever stepped in the octagon,jone goat jones the best who ever stepped in the octagon,11,jone goat jones the good who ever step in the octagon,2
237,Your shitting it!! Nothing else 😂😂😂😂,your shitting it nothing else 😂😂😂😂,6,your shit it nothing else 😂 😂 😂 😂,1
238,A million times yes to this,a million times yes to this,6,a million time yes to this,1
239,A master class! 🐐🐐🐐,a master class 🐐🐐🐐,4,a master class 🐐 🐐 🐐,0
240,Whos the strategist coach?,whos the strategist coach,4,who s the strategist coach,0
241,this is a W for the ufc,this is a w for the ufc,7,this be a w for the ufc,1
242,He ain't the greatest til he beats the greatest the big man the predator... he still stalks Jon maybe Jon will duck him again.,he ain t the greatest til he beats the greatest the big man the predator he still stalks jon maybe jon will duck him again,25,he ain t the great til he beat the great the big man the predator he still stalk jon maybe jon will duck he again,5
243,Rest In peace legend . Sadly missed brother. Rumble on forever Anthony,rest in peace legend sadly missed brother rumble on forever anthony,11,rest in peace legend sadly miss brother rumble on forever anthony,1
244,Idc bro Jon sucks for ducking aspinal and I used to be his biggest fan,idc bro jon sucks for ducking aspinal and i used to be his biggest fan,15,idc bro jon suck for duck aspinal and I use to be his big fan,5
245,His on juice..cheating..,his on juice cheating,4,his on juice cheating,0
246,I understand - ITS 🇺🇸 Pride and if he fights young baby TOM  it’s more than a belt it’s worldly now,i understand its pride and if he fights young baby tom it s more than a belt it s worldly now,21,I understand its pride and if he fight young baby tom it s more than a belt it s worldly now,2
247,Bisping gullible af man. It’s actually cute how easy it is to trick this guy.,bisping gullible af man it s actually cute how easy it is to trick this guy,16,bispe gullible af man it s actually cute how easy it be to trick this guy,2
248,Solid Forrest Whitaker impersonation. 10 out of 10,solid forrest whitaker impersonation 10 out of 10,8,solid forr whitaker impersonation 10 out of 10,1
249,Not cool bro! Stop posting personal stuff! I even hated the fact that the UFC didn’t cut the camera man. This is a pretty important and pivotal moment for a fighter and his coach... fans don’t need to see private things like this. Ngl I hate the fact this video keeps circulating. Btw big props to the fans that keep encouraging this warrior.,not cool bro stop posting personal stuff i even hated the fact that the ufc didn t cut the camera man this is a pretty important and pivotal moment for a fighter and his coach fans don t need to see private things like this ngl i hate the fact this video keeps circulating btw big props to the fans that keep encouraging this warrior,65,not cool bro stop post personal stuff I even hat the fact that the ufc didn t cut the camera man this be a pretty important and pivotal moment for a fighter and his coach fan don t need to see private thing like this ngl I hate the fact this video keep circulate btw big prop to the fan that keep encourage this warrior,12
250,"If Jon retired before Stipe, he would have credibility. Instead he fought an old retired man, ran for as long as his skinny legs can last and then screams retirement right as Tom breathes down his neck. The goat my ass.",if jon retired before stipe he would have credibility instead he fought an old retired man ran for as long as his skinny legs can last and then screams retirement right as tom breathes down his neck the goat my ass,41,if jon retire before stipe he would have credibility instead he fight an old retired man run for as long as his skinny leg can last and then scream retirement right as tom breathe down his neck the goat my ass,6
251,3:15 all you need too know 💀,3 15 all you need too know 💀,8,3 15 all you need too know 💀,0
252,Lol chael throwing rabbit punches he didn't know what to do,lol chael throwing rabbit punches he didn t know what to do,12,lol chael throw rabbit punch he didn t know what to do,2
253,Someone explain these comments,someone explain these comments,4,someone explain these comment,1
254,Meanwhile pereira defended his title 4x in one year.. He needs to fight the contender or be stripped of the title honestly,meanwhile pereira defended his title 4x in one year he needs to fight the contender or be stripped of the title honestly,22,meanwhile pereira defend his title 4x in one year he need to fight the contender or be strip of the title honestly,3
255,You can say quit but you aren’t the one in there getting beat up so stfu it’s just like billy joe Saunders he called out a boxer for “quitting” but then he threw in the towel against canelo you don’t know what they are feeling until you are in that situation it’s easy to judge but it’s hard to be in their position,you can say quit but you aren t the one in there getting beat up so stfu it s just like billy joe saunders he called out a boxer for quitting but then he threw in the towel against canelo you don t know what they are feeling until you are in that situation it s easy to judge but it s hard to be in their position,68,you can say quit but you aren t the one in there getting beat up so stfu it s just like billy joe saunder he call out a boxer for quit but then he throw in the towel against canelo you don t know what they be feel until you be in that situation it s easy to judge but it s hard to be in their position,7
256,Just let tom fight.  Let him be a fighting champ until he is interum in title only.,just let tom fight let him be a fighting champ until he is interum in title only,17,just let tom fight let he be a fighting champ until he be interum in title only,2
257,"This hits deep.. almost makes me emotional. You can tell how much he's hurt, and he can't do it anymore. This guy almost the most relatable as human gets. All my kudos to you.


Edit: This got a few likes :) thank you!",this hits deep almost makes me emotional you can tell how much he s hurt and he can t do it anymore this guy almost the most relatable as human gets all my kudos to you edit this got a few likes thank you,44,this hit deep almost make I emotional you can tell how much he s hurt and he can t do it anymore this guy almost the most relatable as human get all my kudo to you edit this get a few like thank you,7
258,"Truth brother. Aspinall needs the fight to step up, but Jon doesn't because he's already at the top.  Jon fears no one. He's just too smart to make foolish moves... at least without boosting the anticipation so it's at least worth it",truth brother aspinall needs the fight to step up but jon doesn t because he s already at the top jon fears no one he s just too smart to make foolish moves at least without boosting the anticipation so it s at least worth it,46,truth brother aspinall need the fight to step up but jon doesn t because he s already at the top jon fear no one he s just too smart to make foolish move at least without boost the anticipation so it s at least worth it,4
259,thurein tun?,thurein tun,2,thurein tun,0
260,Esse cara tá doido pra apanhar do Jon Jones 😂😂😂😂,esse cara tá doido pra apanhar do jon jones 😂😂😂😂,10,esse cara tá doido pra apanhar do jon jones 😂 😂 😂 😂,0
261,petition is coming  hahahahahhaha,petition is coming hahahahahhaha,4,petition be come hahahahahhaha,2
262,Jones is afraid to fight Tom.,jones is afraid to fight tom,6,jones be afraid to fight tom,1
263,Boring that.....,boring that,2,bore that,1
264,"Life simple why do people have to make it hard. So Jones gets nothing far as his legacy goes beating Tom. Cool, drop the belt to Tom dont hold up the division.  Then JJ and Alex can have their super money fight. Otherwise,  the interim champion without question is next in line.",life simple why do people have to make it hard so jones gets nothing far as his legacy goes beating tom cool drop the belt to tom dont hold up the division then jj and alex can have their super money fight otherwise the interim champion without question is next in line,52,life simple why do people have to make it hard so jones get nothing far as his legacy go beat tom cool drop the belt to tom do not hold up the division then jj and alex can have their super money fight otherwise the interim champion without question be next in line,5
265,"Love how DJ keeps referring to Tom as the champion, not interim champ.",love how dj keeps referring to tom as the champion not interim champ,13,love how dj keeps refer to tom as the champion not interim champ,1
266,"Best ever l love Jon Jones am from UK 
He would destroy Tom aspnol",best ever l love jon jones am from uk he would destroy tom aspnol,14,well ever l love jon jones be from uk he would destroy tom aspnol,2
267,This guy is beyond tough. I seen him get beat up pretty good and he still prevails.,this guy is beyond tough i seen him get beat up pretty good and he still prevails,17,this guy be beyond tough I see he get beat up pretty good and he still prevail,5
268,Jones has been hiding from Ngannou / Stipe beat the one fighter Jones has avoided..,jones has been hiding from ngannou stipe beat the one fighter jones has avoided,14,jones have be hide from ngannou stipe beat the one fighter jones have avoid,5
269,Goddamn hes such a douche,goddamn hes such a douche,5,goddamn he s such a douche,0
270,"I should have said ""Hello Duck, don't you get tired of flying away every time you feel threatened? I know my arms are like shotguns, but put some courage into this, will ya? You're supposed to be the champion.""",i should have said hello duck don t you get tired of flying away every time you feel threatened i know my arms are like shotguns but put some courage into this will ya you re supposed to be the champion,41,I should have say hello duck don t you get tired of fly away every time you feel threatened I know my arm be like shotgun but put some courage into this will ya you re suppose to be the champion,8
271,legend,legend,1,legend,0
272,Weird to be the most dangerous coward of all time.,weird to be the most dangerous coward of all time,10,weird to be the most dangerous coward of all time,0
273,Jones got a bad back it seems,jones got a bad back it seems,7,jones get a bad back it seem,2
274,"Lol, no way!! 😅😅😅 Jon is hilarious! I don't understand why the UFC would book such a match for the TITLE! When you have an interim champion in the division doesn't makes sense. Jones is acting as if people are just pulling up Aspinall out of nowhere. Why have an interim championship when the “undisputed” champion is actively fighting in the division.",lol no way 😅😅😅 jon is hilarious i don t understand why the ufc would book such a match for the title when you have an interim champion in the division doesn t makes sense jones is acting as if people are just pulling up aspinall out of nowhere why have an interim championship when the undisputed champion is actively fighting in the division,64,lol no way 😅 😅 😅 jon be hilarious I don t understand why the ufc would book such a match for the title when you have an interim champion in the division doesn t make sense jones be act as if people be just pull up aspinall out of nowhere why have an interim championship when the undisputed champion be actively fight in the division,9
275,He is one of the greatest combat sports athletes of all time. No doubt about it.,he is one of the greatest combat sports athletes of all time no doubt about it,16,he be one of the great combat sport athlete of all time no doubt about it,4
276,It’s not just a torn pec think about it his entire body is his career and staying undefeated is his bargaining chip. If he fights a strong young competitor and is only at 70 percent then he could risk everything by being impatient also wouldn’t Tom rather fight him at his best so if he wins people can’t downplay his victory,it s not just a torn pec think about it his entire body is his career and staying undefeated is his bargaining chip if he fights a strong young competitor and is only at 70 percent then he could risk everything by being impatient also wouldn t tom rather fight him at his best so if he wins people can t downplay his victory,64,it s not just a tear pec think about it his entire body be his career and staying undefeated be his bargaining chip if he fight a strong young competitor and be only at 70 percent then he could risk everything by be impatient also wouldn t tom rather fight he at his good so if he win people can t downplay his victory,9
277,This guy will be the goat,this guy will be the goat,6,this guy will be the goat,0
